timestamp,avg_dynamic_energy,total_energy,n_dynamic,n_workspace
2025-09-10T08:45:54.366840,21.441749572753906,3927084.25,182929,256
2025-09-10T08:45:54.841902,21.388038635253906,3917250.0,182929,256
2025-09-10T08:45:55.321528,21.34326171875,3907951.0,182878,256
2025-09-10T08:45:55.796156,21.289596557617188,3898127.25,182878,256
2025-09-10T08:45:56.268102,21.243980407714844,3888791.75,182832,256
2025-09-10T08:45:56.745131,21.190353393554688,3878977.0,182832,256
2025-09-10T08:45:57.220361,21.1436710357666,3869580.0,182792,256
2025-09-10T08:45:57.692016,21.090042114257812,3859767.5,182792,256
2025-09-10T08:45:58.171518,21.04281997680664,3850344.5,182755,256
2025-09-10T08:45:58.650813,20.989139556884766,3840519.0,182755,256
2025-09-10T08:45:59.136715,20.94383430480957,3831223.0,182707,256
2025-09-10T08:45:59.610354,20.89020538330078,3821410.0,182707,256
2025-09-10T08:46:00.085970,20.84395980834961,3812051.75,182664,256
2025-09-10T08:46:00.559951,20.79034423828125,3802246.75,182664,256
2025-09-10T08:46:01.041240,20.744144439697266,3792901.0,182621,256
2025-09-10T08:46:01.511193,20.690519332885742,3783097.5,182621,256
2025-09-10T08:46:01.987139,20.644229888916016,3773741.0,182578,256
2025-09-10T08:46:02.457796,20.59062385559082,3763943.75,182578,256
2025-09-10T08:46:02.928557,20.546287536621094,3754723.75,182524,256
2025-09-10T08:46:03.404624,20.492773056030273,3744946.0,182524,256
2025-09-10T08:46:03.880205,20.44645118713379,3735617.75,182482,256
2025-09-10T08:46:04.356710,20.39291763305664,3725837.0,182482,256
2025-09-10T08:46:04.843471,20.345670700073242,3716451.5,182445,256
2025-09-10T08:46:05.314891,20.2921199798584,3706666.25,182445,256
2025-09-10T08:46:05.838733,20.24724578857422,3697434.75,182394,256
2025-09-10T08:46:06.312068,20.193769454956055,3687668.5,182394,256
2025-09-10T08:46:06.777362,20.147916793823242,3678384.75,182349,256
2025-09-10T08:46:07.243176,20.09444808959961,3668623.0,182349,256
2025-09-10T08:46:07.694032,20.048452377319336,3659340.5,182305,256
2025-09-10T08:46:08.150621,19.995010375976562,3649587.5,182305,256
2025-09-10T08:46:08.616287,19.949535369873047,3640345.25,182258,256
2025-09-10T08:46:09.046476,19.89614486694336,3630606.75,182258,256
2025-09-10T08:46:09.519544,19.8494930267334,3621291.5,182218,256
2025-09-10T08:46:09.992735,29.796066284179688,5433723.5,182218,256
2025-09-10T08:46:10.466448,29.74250030517578,5423956.5,182218,256
2025-09-10T08:46:10.929089,39.688804626464844,7236333.0,182218,256
2025-09-10T08:46:11.394085,39.634971618652344,7226511.5,182218,256
2025-09-10T08:46:11.863092,49.580997467041016,9038844.0,182218,256
2025-09-10T08:46:12.334609,59.525814056396484,10851193.0,182222,256
2025-09-10T08:46:12.797131,59.4715461730957,10841293.0,182222,256
